year,receiving_country,confucius_institutes,cultural_centers,cultural_events,sister_cities,international_students,budget_support,humanitarian_assistance,infrastructure_investments,debt_relief,total_financial_pd,government_visits,military_visits,total_elite_visits,financialpd_oda,financialpd_oof,infrastructure_visible,Infrastructure_not_visible,financialpd_commit,financialpd_imp,infrastructure_govtsector
2000,Australia,0,0,5,48,,0,0,0,0,0,46,8,54,0,0, -   , -   ,0,0, -   
2001,Australia,0,0,2,49,,0,0,0,0,0,49,5,54,0,0, -   , -   ,0,0, -   
2002,Australia,0,0,0,50,1001,0,0,0,0,0,15,3,18,0,0, -   , -   ,0,0, -   
2003,Australia,0,0,0,55,918,0,0,0,0,0,13,6,19,0,0, -   , -   ,0,0, -   
2004,Australia,0,0,0,58,1159,0,0,0,0,0,9,4,13,0,0, -   , -   ,0,0, -   
2005,Australia,0,0,1,61,1591,0,0,0,0,0,20,4,24,0,0, -   , -   ,0,0, -   
2006,Australia,1,0,0,65,1420,0,0,0,0,0,14,1,15,0,0, -   , -   ,0,0, -   
2007,Australia,3,0,0,69,1464,0,0,0,0,0,7,4,11,0,0, -   , -   ,0,0, -   
2008,Australia,4,0,0,72,2083,0,0,0,0,0,21,1,22,0,0, -   , -   ,0,0, -   
2009,Australia,6,0,6,75,1874,0,0,0,0,0,23,4,27,0,0, -   , -   ,0,0, -   
2010,Australia,8,0,1,75,2892,0,0,0,0,0,18,4,22,0,0, -   , -   ,0,0, -   
2011,Australia,12,0,2,79,3330,0,0,0,0,0,25,5,30,0,0, -   , -   ,0,0, -   
2012,Australia,13,0,1,85,3246,0,0,0,0,0,21,5,26,0,0, -   , -   ,0,0, -   
2013,Australia,13,0,1,89,3446,0,0,0,0,0,16,5,21,0,0, -   , -   ,0,0, -   
2014,Australia,13,1,3,93,4721,0,0,0,0,0,13,9,22,0,0, -   , -   ,0,0, -   
2015,Australia,14,1,0,98,4411,0,0,0,0,0,9,3,12,0,0, -   , -   ,0,0, -   
2016,Australia,14,1,,103,4796,0,0,0,0,0,,,0,0,0, -   , -   ,0,0, -   
